Nova Scotia Duck Tolling Retriever,Brown;Tan;White,Medium,17-21 inches,35-50 pounds,12-14 years,Intelligent & Affectionate,Very Active,Medium,Sporting
Old English Sheepdog,White;Black;Grey,Large,21+ inches,60-100 pounds,10-12 years,Adaptable & Gentle,Regular Exercise,Long,Herding
Otterhound,Tan;Brown;Black,Large,24-27 inches,80-115 pounds,10-13 years,Amiable & Boisterous,Regular Exercise,Medium,Hound
Papillon,White;Tan;Brown,Extra Small,8-11 inches,5-10 pounds,14-16 years,Happy & Alert,Regular Exercise,Medium,Toy
Parson Russell Terrier,White;Tan;Brown,Small,13-14 inches,13-17 pounds,13-15 years,Clever & Athletic,Very Active,Short,Terrier
Pekingese,Tan;Brown,Small,6-9 inches,up to 14 pounds,12-14 years,Affectionate & Regal,Calm,Long,Toy
Pembroke Welsh Corgi,Tan;White;Brown,Small,10-12 inches,up to 30 pounds,12-13 years,Smart & Alert,Energetic,Medium,Herding
Petit Basset Griffon Vendeen,White;Brown;Tan,Medium,13-15 inches,25-40 pounds,12-14 years,Vivacious & Happy,Energetic,Medium,Hound
Pharaoh Hound,Tan,Medium,21-25 inches,45-55 pounds,12-14 years,Noble & Smart,Energetic,Smooth,Hound
Plott Hound,Brown;Black,Medium,20-25 inches,40-60 pounds,12-14 years,Loyal & Intelligent,Energetic,Short,Hound
Pointer,White;Brown;Black,Large,23-28 inches,45-75 pounds,12-17 years,Even-Tempered & Hardworking,Energetic,Smooth,Sporting
Polish Lowland Sheepdog,White;Black,Medium,17-20 inches,30-50 pounds,12-14 years,Lively & Clever,Energetic,Long,Herding
Pomeranian,Tan,Extra Small,6-7 inches,3-7 pounds,12-16 years,Lively & Inquisitive,Regular Exercise,Long,Toy
Poodle (Miniature),Black;White;Brown,Small,10-15 inches,10-15 pounds,10-18 years,Proud & Very Smart,Energetic,Long,Non-Sporting
Poodle (Standard),Black;White;Brown;Grey,Medium,over 15 inches,40-70 pounds,10-18 years,Proud & Very Smart,Energetic,Long,Non-Sporting
Poodle (Toy),Black;White;Brown,Extra Small,no more than 10 inches,4-6 pounds,10-18 years,Intelligent & Self-Confident,Energetic,Long,Toy
Portuguese Podengo Pequeno,Tan;White;Brown,Small,8-12 inches,9-13 pounds,12-15 years,Lively & Charming,Energetic,Short,Hound
Portuguese Water Dog,Black;Brown;White,Medium,17-23 inches,25-60 pounds,11-13 years,Athletic & Adventurous,Energetic,Long,Working
Pug,Tan;White;Black;Brown,Small,10-13 inches,14-18 pounds,13-15 years,Loving & Mischievous,Regular Exercise,Short,Toy
Puli,Black;Brown,Medium,16-17 inches,25-35 pounds,10-15 years,Loyal & Home-Loving,Regular Exercise,Long,Herding
Pumi,Black;Brown,Small,15-19 inches,22-29 pounds,12-13 years,Energetic & Lively,Energetic,Medium,Herding
